Threshold,F1-Score,Precision,Recall
0.05,0.07087227414330217,0.03684210526315789,0.9285714285714286
0.1,0.21497584541062803,0.12191780821917808,0.9081632653061225
0.15000000000000002,0.36213991769547327,0.2268041237113402,0.8979591836734694
0.2,0.5086705202312138,0.3548387096774194,0.8979591836734694
0.25,0.6068965517241379,0.4583333333333333,0.8979591836734694
0.3,0.6771653543307087,0.5512820512820513,0.8775510204081632
0.35000000000000003,0.7327586206896551,0.6343283582089553,0.8673469387755102
0.4,0.7649769585253456,0.6974789915966386,0.8469387755102041
0.45,0.8097560975609757,0.7757009345794392,0.8469387755102041
0.5,0.8159203980099502,0.7961165048543689,0.8367346938775511
0.55,0.8080808080808081,0.8,0.8163265306122449
0.6000000000000001,0.8205128205128205,0.8247422680412371,0.8163265306122449
0.6500000000000001,0.8125,0.8297872340425532,0.7959183673469388
0.7000000000000001,0.8191489361702128,0.8555555555555555,0.7857142857142857
0.7500000000000001,0.819672131147541,0.8823529411764706,0.7653061224489796
0.8,0.7840909090909091,0.8846153846153846,0.7040816326530612
0.8500000000000001,0.7861271676300579,0.9066666666666666,0.6938775510204082
0.9000000000000001,0.7349397590361446,0.8970588235294118,0.6224489795918368
0.9500000000000001,0.717948717948718,0.9655172413793104,0.5714285714285714
